year,demographic,category,vol_type,count_1000,avg_hours,p25,p50,p75
2025,region,steiermark,Formal,3.72,0.62,1.85,4.54,
2025,region,steiermark,Informal,4.93,0.5,1.9,6.58,
2025,region,tirol,Total,5.68,1.02,2.77,6.46,
2025,region,tirol,Formal,3.12,0.69,1.85,3.65,
2025,region,tirol,Informal,5.14,0.69,2.31,5.54,
2025,region,vorarlberg,Total,6.56,0.98,3.22,7.73,
2025,region,vorarlberg,Formal,3.75,0.69,1.85,4.62,
2025,region,vorarlberg,Informal,5.66,0.69,2.54,6.92,
2025,region,wien,Total,5.23,0.56,2.08,6.46,
2025,region,wien,Formal,2.41,0.38,1.15,2.31,
2025,region,wien,Informal,4.98,0.46,1.85,6.12,
2006,Total,all,Total,3312.3,7.01,0.73,2.91,7.97
2006,Total,all,Formal,1927.6,5.04,0.52,1.9,4.66
2006,Total,all,Informal,2857.9,6.55,0.47,2.09,6.62
2006,gender,male,Total,2009.0,6.47,0.73,2.97,7.45
2006,gender,male,Formal,942.9,5.23,0.67,2.1,5.87
2006,gender,male,Informal,1305.2,5.29,0.36,1.67,6.36
2006,gender,female,Total,1633.5,7.81,0.88,3.13,7.67
2006,gender,female,Formal,707.0,3.94,0.47,1.4,3.65
2006,gender,female,Informal,1305.5,6.11,0.71,3.2,8.52
2006,age_group,<40,Total,1361.1,5.59,0.7,2.46,6.71
2006,age_group,<40,Formal,601.5,4.91,0.7,2.11,5.56
2006,age_group,<40,Informal,857.4,4.91,0.46,1.57,4.94
2006,age_group,40-59,Total,1252.8,7.65,0.79,3.27,7.53
2006,age_group,40-59,Formal,694.0,4.25,0.47,2.02,5.03
2006,age_group,40-59,Informal,919.5,6.28,0.49,2.37,7.28
2006,age_group,60+,Total,934.3,8.25,0.85,3.39,10.39
2006,age_group,60+,Formal,474.0,4.61,0.45,2.01,4.9
2006,age_group,60+,Informal,795.8,7.38,0.59,2.96,10.09
2006,education,compulsory_max,Total,482.0,6.97,0.56,2.08,7.3
2006,education,compulsory_max,Formal,175.8,5.03,0.47,2.0,4.55
2006,education,compulsory_max,Informal,327.3,6.41,0.47,2.04,6.41
2006,education,BMS,Total,1357.9,7.55,0.69,3.08,9.08
2006,education,BMS,Formal,850.6,4.73,0.47,2.06,5.43
2006,education,BMS,Informal,1334.7,6.51,0.46,2.33,7.76
2006,education,Matura,Total,603.6,6.64,0.77,3.16,7.92
2006,education,Matura,Formal,330.8,5.17,0.61,2.08,5.26
2006,education,Matura,Informal,485.9,6.63,0.47,2.3,7.6
2006,education,University,Total,758.5,6.07,0.86,3.01,7.39
2006,education,University,Formal,412.7,4.63,0.63,1.86,4.72
2006,education,University,Informal,563.4,5.17,0.5,2.08,6.48
2006,migration_background,Migration background,Total,605.5,6.31,0.46,1.87,5.59
2006,migration_background,Migration background,Formal,202.6,5.08,0.53,1.99,6.12
2006,migration_background,Migration background,Informal,494.9,5.28,0.34,1.52,4.75
2006,migration_background,No migration background,Total,2737.9,7.4,0.9,2.8,7.67
2006,migration_background,No migration background,Formal,1601.4,4.49,0.46,1.92,5.39
2006,migration_background,No migration background,Informal,1994.8,6.63,0.47,2.45,8.2
2006,employment,Employed,Total,1810.9,6.17,0.81,2.88,7.43
2006,employment,Employed,Formal,1048.0,4.49,0.56,2.01,4.73
2006,employment,Employed,Informal,1675.8,5.37,0.49,1.93,6.3
2006,employment,Retired,Total,833.5,8.24,0.84,3.33,9.41
2006,employment,Retired,Formal,417.4,5.16,0.5,2.02,5.19
2006,employment,Retired,Informal,668.7,6.94,0.72,2.99,10.47
2006,employment,Miscellaneous,Total,765.6,7.58,0.73,3.06,7.11
2006,employment,Miscellaneous,Formal,325.6,4.93,0.44,1.64,4.6
2006,employment,Miscellaneous,Informal,454.3,6.1,0.44,1.92,7.38
2006,municipality_size,"â‰¤2,500 inhabitants",Total,764.3,7.2,0.89,2.76,7.69
2006,municipality_size,"â‰¤2,500 inhabitants",Formal,489.8,4.02,0.51,1.88,4.72
2006,municipality_size,"â‰¤2,500 inhabitants",Informal,564.3,6.41,0.46,2.27,7.27
2006,municipality_size,"â‰¤10,000 inhabitants",Total,1043.9,7.04,0.85,2.73,8.93
2006,municipality_size,"â‰¤10,000 inhabitants",Formal,638.9,5.02,0.52,1.95,5.91
