year,vol_type,dimension,category,men_count,men_perc,women_count,women_perc,men_avg_hours,women_avg_hours
2012,Formal,Formal_Time/week,5-9 hours,138.6,66.9,68.5,33.1,,
2012,Formal,Formal_Time/week,10-19 hours,107.7,62.5,64.6,37.5,,
2012,Formal,Formal_Time/week,20 hours or more,63.3,70.2,26.9,29.8,,
2012,Informal,Informal_Time/week,<1 hour,530.5,53.5,460.7,46.5,,
2012,Informal,Informal_Time/week,1-4 hours,317.5,44.3,399.8,55.7,,
2012,Informal,Informal_Time/week,5-9 hours,130.9,36.2,230.9,63.8,,
2012,Informal,Informal_Time/week,10-19 hours,131.1,43.1,173.3,56.9,,
2012,Informal,Informal_Time/week,20 hours or more,77.8,39.5,119.4,60.5,,
2016,Formal,Formal_NumberOfOrgs,1 Organisation,657.6,57.5,486.2,42.5,,
2016,Formal,Formal_NumberOfOrgs,2 Organisations,233.7,57.5,172.5,42.5,,
2016,Formal,Formal_NumberOfOrgs,3 Organisations,88.1,53.8,75.6,46.2,,
2016,Formal,Formal_NumberOfOrgs,4 or more Organisations,62.4,63.0,36.7,37.0,,
2016,Formal,Formal_TaskTypes,Leadership,362.1,65.7,188.8,34.3,,
2016,Formal,Formal_TaskTypes,Core tasks,567.6,57.1,426.1,42.9,,
2016,Formal,Formal_TaskTypes,Support tasks,441.3,52.1,405.0,47.9,,
2016,Formal,Formal_Areas,Disaster relief and rescue services,298.1,77.7,85.6,22.3,,
2016,Formal,Formal_Areas,"Arts, culture, entertainment",186.3,50.7,180.9,49.3,,
2016,Formal,Formal_Areas,"Environment, nature and animal protection",130.6,61.7,81.2,38.3,,
2016,Formal,Formal_Areas,Religion and Church,156.6,42.0,215.8,58.0,,
2016,Formal,Formal_Areas,Social and Health,121.4,41.5,171.2,58.5,,
2016,Formal,Formal_Areas,Political work and advocacy,164.3,66.5,82.8,33.5,,
2016,Formal,Formal_Areas,Civic activities and community,189.0,61.5,118.2,38.5,,
2016,Formal,Formal_Areas,Education,60.1,42.2,82.3,57.8,,
2016,Formal,Formal_Areas,Sports and exercise,446.2,68.6,203.8,31.4,,
2016,Formal,Formal_Areas,Refugee aid,45.3,49.3,46.5,50.7,,
2016,Informal,Informal_Areas,Various housework,470.8,47.3,525.5,52.7,,
2016,Informal,Informal_Areas,"Repairs, craft work",816.0,80.0,204.4,20.0,,
2016,Informal,Informal_Areas,Visits to persons requiring care,387.6,40.0,581.9,60.0,,
2016,Informal,Informal_Areas,Care for people in need of care,155.6,35.7,279.9,64.3,,
2016,Informal,Informal_Areas,Travel services,386.8,48.8,406.0,51.2,,
2016,Informal,Informal_Areas,gardening,457.8,59.5,311.8,40.5,,
2016,Informal,Informal_Areas,Assistance in disasters,235.3,68.7,107.4,31.3,,
2016,Informal,Informal_Areas,Official procedures and correspondence,274.4,50.4,269.9,49.6,,
2016,Informal,Informal_Areas,Tutoring,123.7,41.2,176.1,58.8,,
2016,Informal,Informal_Areas,Childcare,322.9,36.0,573.5,64.0,,
2016,Informal,Informal_Areas,Care for refugees,58.5,43.1,77.4,56.9,,
2016,Informal,Informal_Areas,Other activity,127.2,52.8,113.7,47.2,,
2016,Formal,Formal_Time/week,<1 hour,317.3,57.2,237.7,42.8,,
2016,Formal,Formal_Time/week,1-4 hours,380.0,56.8,289.3,43.2,,
2016,Formal,Formal_Time/week,5-9 hours,125.2,61.3,79.0,38.7,,
2016,Formal,Formal_Time/week,10-19 hours,109.7,69.6,47.9,30.4,,
2016,Formal,Formal_Time/week,20 hours or more,56.1,66.5,28.3,33.5,,
2016,Informal,Informal_Time/week,<1 hour,651.5,62.3,394.7,37.7,,
2016,Informal,Informal_Time/week,1-4 hours,354.2,45.8,418.9,54.2,,
2016,Informal,Informal_Time/week,5-9 hours,143.8,37.5,239.6,62.5,,
2016,Informal,Informal_Time/week,10-19 hours,131.9,44.3,165.7,55.7,,
2016,Informal,Informal_Time/week,20 hours or more,94.0,45.4,113.1,54.6,,
